2021-08-24 00:06:16,079 INFO  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
2021-08-24 00:06:18,350 INFO  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator : Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2021-08-24 00:06:18,351 WARN  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator : Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/application/default": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2021-08-24 00:06:18,358 INFO  [main] com.mids.auth.role.AuthRoleServiceApplication : No active profile set, falling back to default profiles: default
2021-08-24 00:06:20,325 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-08-24 00:06:20,606 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 248 ms. Found 4 JPA repository interfaces.
2021-08-24 00:06:21,352 INFO  [main] org.springframework.cloud.context.scope.GenericScope : BeanFactory id=8ba98e1e-21b2-3d71-9b0d-acddeb957c7d
2021-08-24 00:06:21,775 INFO  [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@3663d0ba' of type [org.springframework.security.oauth2.provider.expression.OAuth2MethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-08-24 00:06:21,785 INFO  [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-08-24 00:06:22,391 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8080 (http)
2021-08-24 00:06:22,421 INFO  [main] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2021-08-24 00:06:22,422 INFO  [main] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.50]
2021-08-24 00:06:22,777 INFO  [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2021-08-24 00:06:22,778 INFO  [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4378 ms
2021-08-24 00:06:23,092 INFO  [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2021-08-24 00:06:23,604 INFO  [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2021-08-24 00:06:25,597 INFO  [main] liquibase.lockservice : Successfully acquired change log lock
2021-08-24 00:06:26,495 INFO  [main] liquibase.changelog : Reading from public.databasechangelog
2021-08-24 00:06:26,594 INFO  [main] liquibase.lockservice : Successfully released change log lock
2021-08-24 00:06:26,610 INFO  [main] liquibase.lockservice : Successfully acquired change log lock
2021-08-24 00:06:26,615 WARN  [main] liquibase.hub : Skipping auto-registration
2021-08-24 00:06:26,634 INFO  [main] liquibase.lockservice : Successfully released change log lock
2021-08-24 00:06:30,585 INFO  [main] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-08-24 00:06:30,854 WARN  [main] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-08-24 00:06:32,484 INFO  [main] org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration : 

